title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Peer Support & Mentoring for Men,,Just Men in Recovery,,"Peer mentoring and case management for men in early recovery, plus community-building recovery retreats. One-on-one support with basic needs and legal referrals, from an organization run by men with lived recovery experience since 1996.","Email thejmir09crew@gmail.com to connect with a peer mentor or learn about upcoming recovery retreats. Located at 12604 SE Stark St, Portland.","<h2>Services</h2><ul><li><b>Peer Support & Case Management:</b> One-on-one mentoring with help for basic needs and legal referrals</li><li><b>Recovery Retreats:</b> Two ~3-day retreats a year with fellowship, skill-building, and connection</li><li><b>Annual Toy Drive:</b> Holiday gifts for children of men in treatment</li></ul><h2>Who It's For</h2><p>Men in early recovery who benefit from peer connection and mentoring.</p>",,Peer Support,In Person,Services,Men; People in Recovery,12604 SE Stark St,Portland,Oregon,97233,,United States,45.5189658,-122.5336642,,thejmir09crew@gmail.com,https://justmeninrecovery.com/,,https://justmeninrecovery.com/,https://justmeninrecovery.com/
Black Peer-Led Recovery Center,,Miracles Club,,"A Black, peer-led recovery center offering certified recovery mentors, recovery meetings, exercise passes, and a welcoming community — centering Black, Indigenous, and People of Color while open to anyone seeking recovery or harm reduction. Open 9am–6pm, Monday–Saturday.","Drop in at 4200 NE MLK Jr Blvd (9am–6pm, Mon–Sat), call 503-249-8559, or email info@miraclesrecovery.org. Additional locations in NE Portland and Hillsboro.","<h2>Services</h2><ul><li><b>Peer Support:</b> Certified Recovery Mentors with lived experience</li><li><b>Recovery Meetings:</b> Regular gatherings in a safe, recovery-focused space</li><li><b>Exercise Passes</b> and wellness access</li><li><b>Membership & community programs</b></li></ul><h2>Who It's For</h2><p>Anyone seeking recovery or harm reduction, with particular emphasis on serving Black, Indigenous, and People of Color communities.</p><h2>Locations</h2><p>Main: 4200 NE MLK Jr Blvd. Also Miracles Central (1306 NE 2nd Ave) and Washington County (4660 NE Belknap Ct, Hillsboro).</p>",,Peer Support,In Person,Services,BIPOC; People in Recovery,4200 NE Martin Luther King Jr Blvd,Portland,Oregon,97212,,United States,45.5540198,-122.6612256,503-249-8559,info@miraclesrecovery.org,https://www.miraclesclub.org/,,https://www.miraclesclub.org/,https://www.miraclesclub.org/
Sober Housing,,Miracles Club,,"Recovery-focused sober housing through the Miracles Club, providing a safe, substance-free place to live within a Black, peer-led recovery community.",Call 503-249-8559 or email info@miraclesrecovery.org to ask about sober housing availability.,"<h2>Housing</h2><p>The Miracles Club offers residential sober-living support as part of its recovery community, giving people a stable, substance-free environment to sustain recovery.</p><h2>Who It's For</h2><p>People in recovery seeking sober housing, centering BIPOC communities.</p>",,Housing,In Person,Services,BIPOC; People in Recovery,4200 NE Martin Luther King Jr Blvd,Portland,Oregon,97212,,United States,45.5540198,-122.6612256,503-249-8559,info@miraclesrecovery.org,https://www.miraclesclub.org/,,https://www.miraclesclub.org/,https://www.miraclesclub.org/
Veteran Peer Support,,NAMI Multnomah,,"Free one-on-one peer support for veterans and active/prior military service members living with mental health conditions, delivered by peers with shared military experience.",Call 503-228-5692 or email info@namimultnomah.org to connect with a veteran peer supporter. By appointment.,"<h2>Program</h2><p>Peer-based mental health support specifically for veterans and current/former service members — connection, resource navigation, and guidance from someone who understands military experience.</p><h2>Who It's For</h2><p>Veterans and active/prior military service members living with mental health conditions.</p>",,Peer Support,In Person; Online; By Appointment Only,Services,Veterans,"464 SE 185th Ave, Suite 315",Portland,Oregon,97233,,United States,45.5170,-122.4719,503-228-5692,info@namimultnomah.org,https://www.namimultnomah.org/peer-delivered-services,,https://www.namimultnomah.org/peer-delivered-services,https://www.namimultnomah.org/peer-delivered-services
Wraparound Family Support,,NAMI Multnomah,,Family Partners work alongside families and service providers to build customized plans that address a child's specific mental health needs — support from people with lived family experience.,Call 503-228-5692 or email info@namimultnomah.org to learn about Wraparound family support. By appointment.,"<h2>Program</h2><p>Wraparound pairs families with a Family Partner who helps coordinate care and develop a personalized plan around a child's mental health needs, in collaboration with providers.</p><h2>Who It's For</h2><p>Children with mental health needs and their families.</p>",,Peer Support,In Person; Online; By Appointment Only,Services,Families; Youth & Children,"464 SE 185th Ave, Suite 315",Portland,Oregon,97233,,United States,45.5170,-122.4719,503-228-5692,info@namimultnomah.org,https://www.namimultnomah.org/peer-delivered-services,,https://www.namimultnomah.org/peer-delivered-services,https://www.namimultnomah.org/peer-delivered-services
Mental Health Clinical Care,,New Narrative,,"Outpatient and residential mental health treatment tailored to each person, with usually same-day or next-day intake. Part of New Narrative's continuum helping people build tools to thrive in the community.",Call the intake team at 503-726-3742 or email intake@newnarrativepdx.org — same-day or next-day appointments are often available.,"<h2>Program</h2><p>Individualized outpatient and residential mental health treatment, delivered across Portland-area clinics (including Spring Creek in Tigard and Mill Park in Portland).</p><h2>Who It's For</h2><p>People in the greater Portland community living with mental health conditions.</p><h2>How to Access</h2><p>Contact the intake team at 503-726-3742 or intake@newnarrativepdx.org.</p>",,Mental & Behavioral Health,In Person; Online,Services,,8915 SW Center St,Tigard,Oregon,97223,,United States,45.4338046,-122.7684671,503-726-3690,info@newnarrativepdx.org,https://newnarrativepdx.org/discover-what-we-do/clinical-care/,,https://newnarrativepdx.org/discover-what-we-do/clinical-care/,https://newnarrativepdx.org/
Peer Programs,,New Narrative,,"Peer-to-peer mental health support from people with lived experience, helping participants build connection, skills, and their own path to independence.",Call 503-726-3690 or visit newnarrativepdx.org/get-help-now to connect with peer programs.,"<h2>Program</h2><p>Peer support services that pair participants with people who have lived mental health experience, focused on connection, empowerment, and community integration.</p><h2>Who It's For</h2><p>People living with mental health conditions in the greater Portland area.</p>",,Peer Support,In Person,Services,,8915 SW Center St,Tigard,Oregon,97223,,United States,45.4338046,-122.7684671,503-726-3690,info@newnarrativepdx.org,https://newnarrativepdx.org/discover-what-we-do/peer-programs/,,https://newnarrativepdx.org/discover-what-we-do/peer-programs/,https://newnarrativepdx.org/
Supportive Housing,,New Narrative,,"Transitional and permanent housing integrated with mental health services, giving people living with mental illness a stable place to live plus the support to maintain it.",Call 503-726-3690 or visit newnarrativepdx.org/get-help-now to ask about housing.,"<h2>Program</h2><p>Housing options — transitional and permanent supportive housing — combined with mental health support to help people stabilize and build independence.</p><h2>Who It's For</h2><p>People living with mental health conditions who need stable, supportive housing.</p>",,Housing,In Person,Services,,8915 SW Center St,Tigard,Oregon,97223,,United States,45.4338046,-122.7684671,503-726-3690,info@newnarrativepdx.org,https://newnarrativepdx.org/discover-what-we-do/housing/,,https://newnarrativepdx.org/discover-what-we-do/housing/,https://newnarrativepdx.org/
Free Legal Information & Aid Finder,,Oregon Law Help,,"A free statewide website that explains civil legal issues in plain language — housing, family law, public benefits, and more — with step-by-step guides and a tool to find free/low-cost legal aid and lawyer referrals. Available in English, Spanish, Chinese, and Vietnamese.","Visit oregonlawhelp.org to read legal guides, use the guided help tool, or find a legal-aid organization near you. Free to use.","<h2>What It Offers</h2><ul><li><b>Legal Information Library:</b> plain-language guides organized by topic with step-by-step instructions</li><li><b>Find Legal Help:</b> connections to free/low-cost legal aid and Oregon State Bar lawyer referrals</li><li><b>Guided Navigation:</b> a tool to help you figure out where to start</li></ul><h2>Topics</h2><p>Housing/eviction, family law, public benefits, and other civil legal matters.</p><h2>Note</h2><p>This is a free information resource written by Oregon attorneys — educational material, not personal legal advice. Available in English, Spanish, Mandarin Chinese, and Vietnamese.</p>",,Legal,Online,Guidebooks,Spanish Speakers,,,,,,United States,,,,,https://oregonlawhelp.org/,,https://oregonlawhelp.org/,https://oregonlawhelp.org/
Recovery Housing Directory,,Oregon Recovery Residences,,"A free statewide online registry of recovery (sober) housing in Oregon. Search certified recovery homes by length of stay — long-term, transitional, or emergency beds — and see availability, pricing, and homes serving LGBTQ+ and culturally-specific communities.",Search available recovery homes for free at oregonrecoveryresidences.org. Housing providers can also list residences by creating a free account.,"<h2>What It Offers</h2><p>A searchable, free directory of recovery residences across Oregon, maintained by residence operators. Filter by length of stay:</p><ul><li>Long-term housing (months to years)</li><li>Transitional housing (months to ~2 years)</li><li>Emergency beds (short-term)</li></ul><p>Listings show available houses, bed counts, pricing, and homes serving LGBTQ+ and culturally-specific communities.</p><h2>Who It's For</h2><p>People seeking recovery housing, and the agencies/operators who list it.</p>",,Housing,Online,Guidebooks,People in Recovery,,,,,,United States,,,,mhacbo@mhacbo.org,https://www.oregonrecoveryresidences.org/en/,,https://www.oregonrecoveryresidences.org/en/,https://www.oregonrecoveryresidences.org/en/
