title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Detox (Medically-Supported Withdrawal),,Serenity Lane,,"Medically-supervised detox from alcohol, benzodiazepines, heroin, and fentanyl at Oregon's largest nonprofit addiction treatment provider (since 1973). Same-day admissions available 7 days a week; in-network with most major insurance.","Call admissions at 800-543-9905 — same-day admission is often available, 7 days a week.","<h2>Program</h2><p>Safe, medically-supervised withdrawal management with 24-hour clinical oversight, specializing in alcohol, benzodiazepine, heroin, and fentanyl detox.</p><h2>Insurance</h2><p>In-network with most major insurers (Blue Cross, Aetna, Cigna, Kaiser, United Healthcare, TRICARE, and more). CARF-accredited.</p>",,Detox,In Person,Services,People in Recovery,1 Serenity Lane,Coburg,Oregon,97408,,United States,44.1400021,-123.0588085,800-543-9905,,https://serenitylane.org/treatment-programs/medically-supported-withdrawal-detox/,,https://serenitylane.org/treatment-programs/medically-supported-withdrawal-detox/,https://serenitylane.org/
Residential / Inpatient Treatment,,Serenity Lane,,"On-campus residential addiction treatment for adults 18+ at the Coburg facility — structured therapeutic programming with housing and amenities, in short-term and long-term options.","Call 800-543-9905 for admission (same-day often available). Inpatient campus at 1 Serenity Lane, Coburg.","<h2>Program</h2><p>Intensive, structured residential treatment with on-campus housing, individual and group therapy, and recreational amenities. Short-term and long-term stays available.</p><h2>Who It's For</h2><p>Adults 18+ needing structured, live-in care.</p>",,Recovery,In Person,Services,People in Recovery,1 Serenity Lane,Coburg,Oregon,97408,,United States,44.1400021,-123.0588085,800-543-9905,,https://serenitylane.org/location/inpatient-residential-treatment-center/,,https://serenitylane.org/location/inpatient-residential-treatment-center/,https://serenitylane.org/
Medication-Assisted Treatment (MAT),,Serenity Lane,,"Medication-assisted treatment combining pharmacological support with counseling for opioid and alcohol dependence, available at Serenity Lane's Portland and other Oregon locations.",Call 800-543-9905 to start MAT and verify insurance.,<h2>Program</h2><p>Evidence-based medications paired with counseling to reduce cravings and support recovery from opioid or alcohol use disorder.</p>,,Recovery,In Person,Services,People in Recovery,10920 SW Barbur Blvd,Portland,Oregon,97219,,United States,45.4462439,-122.7295354,800-543-9905,,https://serenitylane.org/treatment-programs/mat/,,https://serenitylane.org/treatment-programs/mat/,https://serenitylane.org/
Outpatient Treatment,,Serenity Lane,,"Outpatient addiction treatment at several intensity levels — standard outpatient, intensive outpatient (IOP), and day treatment — so you can recover while living at home and working. Portland West location plus Albany, Bend, Eugene, Roseburg, and Salem.",Call 800-543-9905 to arrange outpatient treatment at the Portland West clinic (10920 SW Barbur Blvd) or another location.,"<h2>Levels of Care</h2><ul><li>Level I Outpatient</li><li>Level II Intensive Outpatient (IOP)</li><li>Day Treatment</li></ul><h2>Locations</h2><p>Portland West, Albany, Bend, Eugene, Roseburg, and Salem.</p>",,Recovery,In Person; Online,Services,People in Recovery,10920 SW Barbur Blvd,Portland,Oregon,97219,,United States,45.4462439,-122.7295354,800-543-9905,,https://serenitylane.org/treatment-programs/outpatient-treatment/,,https://serenitylane.org/treatment-programs/outpatient-treatment/,https://serenitylane.org/
DUII Services,,Serenity Lane,,"Specialized DUII assessment, education, and treatment meeting Oregon court and diversion requirements, for court-ordered or self-referred individuals.",Call 800-543-9905 to enroll in DUII services.,"<h2>Program</h2><p>DUII-specific evaluation, alcohol/drug education, and treatment structured to satisfy Oregon court and DMV requirements.</p><h2>Who It's For</h2><p>People with DUII charges or diversion requirements.</p>",,Recovery,In Person,Services,Justice Impacted,10920 SW Barbur Blvd,Portland,Oregon,97219,,United States,45.4462439,-122.7295354,800-543-9905,,https://serenitylane.org/treatment-programs/duii-services/,,https://serenitylane.org/treatment-programs/duii-services/,https://serenitylane.org/
No-Barrier Food Pantry,,St. Johns Food Share,,"A volunteer-powered, no-barrier food pantry in the St. Johns neighborhood where anyone in need can shop for groceries — no proof of eligibility required. Open Monday and Friday 10am–4pm, Wednesday 10am–12pm.","Walk in during open hours at 8100 N Lombard St, Portland (Mon & Fri 10am–4pm, Wed 10am–12pm). Questions: 503-286-0750 or stjohnsfoodshare@gmail.com.","<h2>What It Offers</h2><p>An open-door, choice-model food pantry — shop for groceries that fit your needs with no proof of eligibility and no judgment. Protein availability varies (meat Mondays, eggs Wednesdays/Fridays when available).</p><h2>Hours</h2><ul><li>Monday: 10am–4pm</li><li>Wednesday: 10am–12pm</li><li>Friday: 10am–4pm</li></ul>",,Food,In Person,Services,Low Barrier,8100 N Lombard St,Portland,Oregon,97203,,United States,45.5892188,-122.7493510,503-286-0750,stjohnsfoodshare@gmail.com,https://stjohnsfoodshare.org/,,https://stjohnsfoodshare.org/,https://stjohnsfoodshare.org/
Mental Health Therapy,,Stronger Oregon,,"Individual, couples, family, and group counseling available statewide by telehealth or in person, including specialized programs for veterans, seniors, domestic violence survivors, and school-aged youth. Offices in Portland, Milwaukie, Beaverton, and across Oregon.","Call 541-900-4285 or email info@strongeroregon.com, or use the provider search at strongeroregon.com. Telehealth and in-person options.","<h2>Services</h2><ul><li>Individual, couples, family, and group counseling</li><li>Veterans services</li><li>School-based mental health</li><li>Domestic violence shelter services</li><li>Senior care and outreach</li></ul><h2>Access</h2><p>Statewide via telehealth (phone, desktop, mobile) or in person at offices including Portland, Milwaukie, and Beaverton.</p>",,Mental & Behavioral Health,In Person; Online,Services,,,Portland,Oregon,,,United States,,,541-900-4285,info@strongeroregon.com,,,,https://www.strongeroregon.com/
Housing & Basic Needs Assistance,,Stronger Oregon,,"Help with housing, food, and climate-related benefits alongside mental health support — connecting adults, youth, and families statewide to stability and resources.",Call 541-900-4285 or email info@strongeroregon.com to ask about housing and basic-needs assistance.,"<h2>Services</h2><p>Assistance navigating housing, food, and climate/energy benefits, offered together with Stronger Oregon's mental health services to support whole-person stability.</p><h2>Who It's For</h2><p>Adults, youth, and families across Oregon.</p>",,Case Management,In Person; Online,Services,,,Portland,Oregon,,,United States,,,541-900-4285,info@strongeroregon.com,,,,https://www.strongeroregon.com/
Reentry Mentoring & Family Support,,The Pathfinder Network,,"Support for justice system-impacted individuals and families — reentry mentoring for justice-involved parents, peer mentoring, case management, and the Center for Family Success in Multnomah County.",Call 503-892-5396 or email info@thepathfindernetwork.org to connect with reentry and family services.,"<h2>Community Programs</h2><ul><li>Reentry mentoring for justice-involved parents</li><li>Peer mentoring and case management</li><li>Early childhood home visiting</li><li>Intervention programs for children of justice-involved parents</li><li>Center for Family Success (Multnomah County)</li></ul><h2>Who It's For</h2><p>People leaving incarceration, parents on parole/probation, and families impacted by the justice system.</p>",,Case Management,In Person,Services,Justice Impacted; Families,,Portland,Oregon,,,United States,,,503-892-5396,info@thepathfindernetwork.org,,,,https://www.thepathfindernetwork.org/
Parenting Programs (Parenting Inside Out),,The Pathfinder Network,,Evidence-based parenting skills training — including Parenting Inside Out® for incarcerated mothers and fathers and community parenting classes — helping justice-involved parents strengthen family bonds.,Call 503-892-5396 or email info@thepathfindernetwork.org to learn about parenting classes.,<h2>Programs</h2><ul><li><b>Parenting Inside Out®:</b> evidence-based parenting skills training for incarcerated parents (via Oregon Dept. of Corrections)</li><li>Community parenting classes for justice-involved parents</li></ul><h2>Who It's For</h2><p>Incarcerated and community-based parents impacted by the justice system.</p>,,Parenting,In Person,"Classes, Workshops & Meetings",Justice Impacted; Families,,Portland,Oregon,,,United States,,,503-892-5396,info@thepathfindernetwork.org,,,,https://www.thepathfindernetwork.org/
Peer-Delivered Recovery & Reentry Support,,The Peer Company,,"A peer-run nonprofit (formerly Mental Health & Addiction Association of Oregon) supporting recovery and wellness through lived experience — peer support, recovery services, reentry support, advocacy, outreach, and connections to housing, detox, and treatment.","Self-refer through the online form at mhaoforegon.jotform.com, call 503-922-2377, or visit mhaoforegon.org.","<h2>Services</h2><ul><li>Peer support and recovery mentoring from people with lived experience</li><li>Reentry support</li><li>Advocacy, outreach, and education</li><li>Connections to housing, detox, and treatment</li></ul><h2>Who It's For</h2><p>People on their recovery and wellness journeys, especially those with lived experience of mental health and addiction challenges.</p><h2>Note</h2><p>Formerly the Mental Health & Addiction Association of Oregon (MHAAO); renamed The Peer Company in September 2025.</p>",,Peer Support,In Person; Online,Services,People in Recovery,8935 SE Powell Blvd,Portland,Oregon,97266,,United States,45.4976882,-122.5713911,503-922-2377,,https://thepeercompany.org/,,https://thepeercompany.org/,https://thepeercompany.org/
Fitness & Movement for Recovery,,The Recovery Gym,,"A free, trauma-informed functional-fitness, strength, and endurance gym built specifically for people in or seeking recovery from substance use — high-quality coaching in a supportive, judgment-free community. A project of the Alano Club of Portland. Locations in Portland and Hillsboro.","Join for free at 931 SE 6th Ave, Portland (or Hillsboro). See the class schedule at therecoverygym.org. 100% cost-free for anyone in or seeking recovery.","<h2>What It Offers</h2><ul><li>Functional fitness, strength training, and endurance classes</li><li>Trauma-informed, inclusive coaching</li><li>A supportive recovery community that celebrates recovery as a visible, healthy lifestyle</li></ul><h2>Locations</h2><ul><li>Portland: 931 SE 6th Ave</li><li>Hillsboro: 1060 SW Baseline St</li></ul><h2>Cost</h2><p>100% free for anyone in or seeking recovery.</p>",,Movement,In Person,Services,People in Recovery,931 SE 6th Ave,Portland,Oregon,97214,,United States,45.5160164,-122.6599939,,,https://www.therecoverygym.org/,,https://www.therecoverygym.org/,https://www.therecoverygym.org/
