title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Peer Support & Mentoring,,Bridges to Change,,"Peer mentors with lived experience walk alongside you on your recovery journey, helping with treatment navigation, transportation, food and ID applications, job searching, housing, and medical care — plus recovery, community, and emotional support. Harm-reduction based.",Call 503-465-2749 or use the contact form at bridgestochange.com/contact to get connected with a peer mentor.,"<h2>What Peer Mentors Help With</h2><h3>Basic Needs</h3><ul><li>Treatment navigation</li><li>Transportation</li><li>Food assistance applications</li><li>Identification documents</li><li>Job searching</li><li>Housing resources</li><li>Medical care access</li></ul><h3>Recovery Support</h3><ul><li>Community building and peer connection</li><li>Stress management</li><li>Self-esteem development</li><li>Understanding from shared life experience</li></ul><h2>Approach</h2><p>Bridges to Change believes participants are the experts in their own lives. Mentors use a harm-reduction approach and support each person in finding their own recovery path.</p><h2>Who It's For</h2><p>People in recovery from substance use, including justice-involved individuals and those reentering the community.</p>",,Peer Support,In Person,Services,Justice Impacted; People in Recovery,"7916 SE Foster Rd, Ste 201",Portland,Oregon,97206,,United States,45.4836711,-122.5819712,503-465-2749,,https://www.bridgestochange.com/peers/,,https://www.bridgestochange.com/peers/,https://www.bridgestochange.com/
Supportive Housing,,Bridges to Change,,"Multiple supportive housing models across Multnomah, Clackamas, Washington, and Wasco counties — including low-barrier stabilization housing (sobriety not required), corrections/reentry housing, mental health stabilization, treatment housing, culturally specific housing, and a 30–45 day Recovery Access Center in Gresham.",Complete a housing referral form at bridgestochange.com or call 971-386-3338.,"<h2>Housing Programs</h2><ul><li><b>Stabilization Housing:</b> Low-barrier housing for people new to recovery — sobriety is not a requirement to move in. Self-referral or community partner referral.</li><li><b>Corrections Housing:</b> For individuals exiting incarceration; requires approval from a probation officer/department. Includes peer mentors and treatment.</li><li><b>Mental Health Stabilization:</b> Safe, structured housing for individuals with severe and persistent mental health issues, in partnership with mental health courts.</li><li><b>Treatment Housing:</b> For people engaged in substance use disorder treatment (Multnomah and Washington counties).</li><li><b>Recovery Access Center (RAC):</b> A 30–45 day temporary program in Gresham with peer support, group meetings, two meals a day, laundry, job search, and ID help.</li><li><b>Culturally Specific Housing:</b> Partners serving LGBTQ+, Black/African American, and Latine communities.</li></ul><h2>How to Access</h2><p>Complete a housing referral form or call 971-386-3338.</p>",,Housing,In Person,Services,People in Recovery; Justice Impacted,"7916 SE Foster Rd, Ste 201",Portland,Oregon,97206,,United States,45.4836711,-122.5819712,971-386-3338,,https://www.bridgestochange.com/housing/,,https://www.bridgestochange.com/housing/,https://www.bridgestochange.com/
Substance Use & Mental Health Treatment,,Bridges to Change,,"Outpatient and intensive outpatient substance use treatment (in-person, Multnomah and Washington counties) with an appointment within 72 hours, plus telehealth mental health treatment open to anyone in the tri-county area, and co-occurring disorders treatment at the Foster site.",Call 503-560-7800 or complete the new client form online to schedule an assessment.,"<h2>Treatment Options</h2><ul><li><b>Substance Use Disorder Treatment:</b> In-person outpatient and intensive outpatient in Multnomah and Washington counties. Rapid access — an appointment within 72 hours. Led by Certified Alcohol and Drug Counselors running groups to build coping skills.</li><li><b>Mental Health Treatment:</b> Telehealth, outpatient only, open to anyone in Multnomah, Washington, and Clackamas counties. Staffed by Qualified Mental Health Professionals.</li><li><b>Co-Occurring Disorders Treatment:</b> Outpatient treatment for substance use and mental health together, at the Foster site in Multnomah County.</li></ul><h2>How to Access</h2><p>Call or email to schedule your assessment and get connected with a peer mentor. Contact 503-560-7800 or complete a new client form online.</p>",,Recovery,In Person; Online; By Appointment Only,Services,People in Recovery,"7916 SE Foster Rd, Ste 201",Portland,Oregon,97206,,United States,45.4836711,-122.5819712,503-560-7800,,https://www.bridgestochange.com/treatment/,,https://www.bridgestochange.com/treatment/,https://www.bridgestochange.com/
Immediate Care (Club Hope Drop-In),,Bridges to Change,,"Free, confidential, walk-in support open to anyone. Club Hope in Gresham offers peer mentoring, showers, laundry, food, rest areas, and recovery meetings. A Mobile Behavioral Health Team brings peer support, counseling, and supplies (including Narcan) to CareOregon members in the community.","Walk into Club Hope at 100 SE Cleveland Ave, Gresham, Monday–Friday 8am–5pm (showers/laundry 10am–3pm). For the Mobile Behavioral Health Team, submit a referral online.","<h2>Club Hope</h2><ul><li><b>Location:</b> 100 SE Cleveland Ave, Gresham, OR 97080</li><li><b>Hours:</b> Monday–Friday 8am–5pm (showers &amp; laundry 10am–3pm)</li><li><b>Services:</b> Peer mentoring, showers, laundry, food, rest areas, and recovery meetings throughout the week.</li></ul><h2>Mobile Behavioral Health Team (MBHT)</h2><ul><li>Available to CareOregon members</li><li>Brings services to individuals in their homes or communities</li><li>Peer mentors, professional counseling from Qualified Mental Health Professionals, and supplies including food, clothing, tents, and Narcan</li></ul><h2>Who It's For</h2><p>Free, confidential, and open to anyone. Low-barrier — this is a walk-in support center, not a crisis or detox facility.</p>",,Day Center,In Person,Services,Low Barrier,100 SE Cleveland Ave,Gresham,Oregon,97080,,United States,45.4974929,-122.4207623,503-465-2749,,https://www.bridgestochange.com/immediate-care/,,https://www.bridgestochange.com/immediate-care/,https://www.bridgestochange.com/
24/7 Crisis Support Line,,Call to Safety,,"Free, confidential 24/7 crisis support for anyone experiencing domestic violence or sexual assault. Reach advocates by phone, chat, text, or email. Multilingual interpretation available in Arabic, Burmese, Chinese, Nepali, Russian, Somali, Spanish, and Vietnamese.","Call the 24/7 crisis line at 1-888-235-5333 (local 503-235-5333), or email support@calltosafety.org. Chat and text support also available.","<h2>Crisis Support</h2><p>Call to Safety (formerly the Portland Women's Crisis Line) provides free, confidential, around-the-clock support, information, and referrals for survivors of domestic violence and sexual assault, and for their friends and family.</p><h2>Ways to Reach Us</h2><ul><li><b>Crisis line:</b> 1-888-235-5333 (24/7, free, confidential)</li><li><b>Local line:</b> 503-235-5333</li><li><b>Email support:</b> support@calltosafety.org</li><li><b>Chat &amp; text support</b> for those who prefer not to call</li></ul><h2>Language Access</h2><p>Interpretation available in Arabic, Burmese, Chinese, Nepali, Russian, Somali, Spanish, and Vietnamese.</p>",,Crisis Hotlines,Online,Services,Domestic Violence (DV) Survivors,,Portland,Oregon,,,United States,,,1-888-235-5333,support@calltosafety.org,https://calltosafety.org/services/crisis-line/,,https://calltosafety.org/services/crisis-line/,https://calltosafety.org/
Emergency Domestic Violence Shelter,,Call to Safety,,"Safe, confidential emergency housing for people fleeing domestic violence, accessed through the 24/7 crisis line.",Call the 24/7 crisis line at 1-888-235-5333 to be connected with emergency shelter.,"<h2>Emergency Shelter</h2><p>Call to Safety connects survivors of domestic violence with safe emergency housing. Because shelter locations are confidential for safety, access is arranged through the 24/7 crisis line.</p><h2>How to Access</h2><p>Call 1-888-235-5333 (24/7, free, confidential) to speak with an advocate about emergency shelter options.</p>",,Shelter,In Person; By Appointment Only,Services,Domestic Violence (DV) Survivors,,Portland,Oregon,,,United States,,,1-888-235-5333,,https://calltosafety.org/services/,,https://calltosafety.org/services/,https://calltosafety.org/
Support Groups,,Call to Safety,,Peer support groups for survivors of domestic violence and sexual assault to connect with others who understand.,Contact Call to Safety at 503-235-5333 or the crisis line at 1-888-235-5333 to learn about current support groups.,"<h2>Support Groups</h2><p>Peer support gatherings where survivors of domestic violence and sexual assault can find community, understanding, and mutual support.</p><h2>How to Join</h2><p>Contact the organization to learn about current groups, schedules, and how to participate.</p>",,Peer Support,In Person,"Classes, Workshops & Meetings",Domestic Violence (DV) Survivors,,Portland,Oregon,,,United States,,,1-888-235-5333,,https://calltosafety.org/services/,,https://calltosafety.org/services/,https://calltosafety.org/
Safety Planning & Follow-Up Advocacy,,Call to Safety,,Personalized safety planning (including technology/tech safety guidance) and ongoing follow-up advocacy for survivors after a crisis.,Call the crisis line at 1-888-235-5333 to work with an advocate on a safety plan or ongoing advocacy.,"<h2>Safety Planning</h2><p>Advocates help survivors create personalized safety strategies, including guidance on technology and digital safety.</p><h2>Follow-Up Advocacy</h2><p>Ongoing advocacy and support after the initial crisis, connecting survivors with continued assistance and resources.</p><h2>How to Access</h2><p>Reach an advocate through the 24/7 crisis line at 1-888-235-5333.</p>",,Case Management,Online; In Person,Services,Domestic Violence (DV) Survivors,,Portland,Oregon,,,United States,,,1-888-235-5333,,https://calltosafety.org/services/safety-planning/,,https://calltosafety.org/services/safety-planning/,https://calltosafety.org/
Bad Date Line,,Call to Safety,,"A confidential information-sharing line for sex workers to report and hear about dangerous or violent clients, supporting community safety.",Call Call to Safety to access or contribute to the Bad Date Line. Crisis line: 1-888-235-5333.,<h2>Bad Date Line</h2><p>A safety-focused information-sharing service that lets sex workers report dangerous encounters and access warnings about unsafe clients. Confidential and non-judgmental.</p><h2>How to Access</h2><p>Contact Call to Safety by phone. All contact is confidential.</p>,,Crisis Hotlines,Online,Services,Low Barrier,,Portland,Oregon,,,United States,,,1-888-235-5333,,https://calltosafety.org/services/bad-date-line/,,https://calltosafety.org/services/bad-date-line/,https://calltosafety.org/
HIV + STI Testing,,Cascade AIDS Project,,"Free, confidential HIV and STI testing (HIV, syphilis, chlamydia, gonorrhea; some sites also hep C) with results in about 20 minutes. Aimed at gay/bi/queer men and trans folks, but no one is turned away. Walk-in and appointment options across Portland, Washington & Clackamas counties, Vancouver, and Longview.","Book or find a walk-in site via capnw.org/get-tested, or call 503-223-5907. Home testing kits available for Washington State residents.","<h2>What's Tested</h2><p>HIV, syphilis, chlamydia, and gonorrhea at most locations; some sites also offer hepatitis C (HCV) screening.</p><h2>Cost</h2><p>All testing is confidential, free of charge, with results in about 20 minutes.</p><h2>Locations & Access</h2><ul><li><b>Portland:</b> Pivot @ Prism Health Belmont (by appointment); Testing 4 All (walk-in)</li><li><b>Washington County:</b> Hillsboro clinic (walk-in &amp; appointment)</li><li><b>Clackamas County:</b> multiple sites</li><li><b>Vancouver, WA</b> and <b>Longview, WA</b> (Longview walk-in only)</li></ul><h2>Who It's For</h2><p>Aimed at gay, bisexual, and queer men and trans people — but everyone is welcome and no one is turned away.</p>",,Medical,In Person; By Appointment Only,Services,LGBTQIA2S+,"520 NW Davis St, Suite 215",Portland,Oregon,97209,,United States,45.5243838,-122.6759142,503-223-5907,info@capnw.org,https://www.capnw.org/get-tested,,https://www.capnw.org/get-tested,https://www.capnw.org/
