title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Creative Mentoring & Day Program for Homeless Youth,,P:ear,,"A welcoming daytime drop-in space for young people moving through and beyond homelessness — creative mentoring, education, art, recreation, meals, and referrals. Serves about 65 youth a day. Open Tuesday–Friday, 9am–2pm.","Visit P:ear at 338 NW 6th Ave, Portland (Tue–Fri 9am–2pm) or call 503-228-6677. Review eligibility and what to expect at pearmentor.org before your first visit.","<h2>Programs</h2><ul><li><b>Core Programs:</b> education, arts, and recreation</li><li><b>Meals:</b> over 23,000 served a year</li><li><b>Support:</b> referrals and parenting support</li></ul><h2>Who It's For</h2><p>Young people experiencing or transitioning out of homelessness.</p><h2>Hours</h2><p>Tuesday–Friday, 9am–2pm, at 338 NW 6th Ave, Portland.</p>",,Day Center,In Person,Services,Youth & Children,338 NW 6th Ave,Portland,Oregon,97209,,United States,45.5257641,-122.6762240,503-228-6677,info@pearmentor.org,https://www.pearmentor.org/,,https://www.pearmentor.org/,https://www.pearmentor.org/
Works Job Training Program,,P:ear,,P:ear's job-training and paid work-experience program helping homeless and transitional youth build employment skills and a work history.,"Ask P:ear staff about the Works program during a visit, or call 503-228-6677.","<h2>Program</h2><p>The Works programs give young people job training and real work experience — building skills, confidence, and employment history as they move beyond homelessness.</p><h2>Who It's For</h2><p>Homeless and transitional youth ready to build job skills.</p>",,Employment & Career,In Person,Services,Youth & Children,338 NW 6th Ave,Portland,Oregon,97209,,United States,45.5257641,-122.6762240,503-228-6677,info@pearmentor.org,https://www.pearmentor.org/,,https://www.pearmentor.org/,https://www.pearmentor.org/
Recovery Meetings & Community Center,,Alano Club of Portland,,"A free, inclusive recovery community center in NW Portland hosting 100+ recovery meetings a week (AA, NA, and other peer groups), plus online meeting access. Open to anyone seeking recovery from substance use and mental health challenges for 60+ years.","Drop in at 909 NW 24th Ave, Portland, or call 503-222-5756. Meeting schedules at alanoclub.org. All services are free.","<h2>What's Offered</h2><ul><li>100+ in-person recovery meetings weekly (AA, NA, and more)</li><li>Access to online recovery meetings</li><li>Specialized programs: Recovery Toolkit, Peer Connect (peer matching), Artists in Recovery, Project Red (overdose prevention)</li></ul><h2>Who It's For</h2><p>Anyone seeking recovery from substance use and/or mental health disorders.</p><h2>Cost</h2><p>Free.</p>",,Peer Support,In Person; Online,Services,People in Recovery,909 NW 24th Ave,Portland,Oregon,97210,,United States,45.5292560,-122.7009323,503-222-5756,,,,,https://www.portlandalano.org/home
Free Recovery Classes & Workshops,,Alano Club of Portland,,"A rotating lineup of free classes and workshops for people in recovery — legal aid clinics, financial literacy, arts classes, cooking workshops (Plates for the People), sound baths, and more, across multiple locations.",See the current class schedule at alanoclub.org or call 503-222-5756. All classes are free.,"<h2>Offerings</h2><ul><li>Legal aid clinics</li><li>Financial literacy</li><li>Arts classes and Artists in Recovery</li><li>Cooking / nutrition workshops (Plates for the People)</li><li>Sound baths and wellness sessions</li></ul><h2>Who It's For</h2><p>People in recovery seeking skills, connection, and wellness. Free and open.</p>",,Skill Building,In Person,"Classes, Workshops & Meetings",People in Recovery,909 NW 24th Ave,Portland,Oregon,97210,,United States,45.5292560,-122.7009323,503-222-5756,,,,,https://www.portlandalano.org/home
Accessible Housing & Attendant Care,,QUAD,,"Affordable, barrier-free (wheelchair-accessible) apartments plus optional 24/7 resident-directed attendant care for adults with physical disabilities, across five Portland-area communities. Designed for independent living with roll-in showers, roll-under counters, and emergency systems.","Apply online at quadinc.org/services/application-process, or call 503-287-4260.","<h2>Services</h2><ul><li><b>Accessible Housing:</b> studio, 1-, and 2-bedroom wheelchair-accessible apartments with open floor plans, roll-under counters, custom appliances, and roll-in showers</li><li><b>24/7 Shared Attendant Care (optional):</b> resident-directed help with daily living — wake-up care, cooking, medical assistance, and community activities</li><li><b>Community amenities:</b> common rooms, gardens, and emergency assistance systems</li></ul><h2>Locations</h2><p>Myers Court (N Portland), Central Station (Gresham), Rolling Green (Hillsboro), Burnside Station and Station 162 (E Portland).</p><h2>Who It's For</h2><p>Adults with physical disabilities seeking accessible, supportive independent living.</p>",,Housing,In Person; By Appointment Only,Services,People with Disabilities,"6645 NE 78th Court, C-7",Portland,Oregon,97218,,United States,45.5708167,-122.5824444,503-287-4260,development@quadinc.org,https://quadinc.org/,,https://quadinc.org/,https://quadinc.org/
Mental Health Counseling,,Quest Center for Integrative Health,,"Therapy and counseling for emotional wellness from an integrative-health nonprofit, with in-person and telehealth options.",Call 503-238-5203 or email info@quest-center.org to schedule mental health services.,"<h2>Program</h2><p>Individual therapy and counseling supporting emotional and mental wellness, offered through an integrative, whole-person approach. Telehealth available.</p>",,Mental & Behavioral Health,In Person; Online,Services,,3231 SE 50th Ave,Portland,Oregon,97206,,United States,45.4990592,-122.6116297,503-238-5203,info@quest-center.org,https://quest-center.org/mental-health-services,,https://quest-center.org/mental-health-services,https://quest-center.org/
FSR Addiction Services,,Quest Center for Integrative Health,,"Substance-use counseling and recovery support (FSR) integrated with whole-person wellness, available in person and via telehealth.",Call 503-238-5203 or email info@quest-center.org for addiction services.,"<h2>Program</h2><p>Counseling and recovery support for substance use, delivered within Quest's integrative-health model. Telehealth counseling available.</p>",,Recovery,In Person; Online,Services,People in Recovery,3231 SE 50th Ave,Portland,Oregon,97206,,United States,45.4990592,-122.6116297,503-238-5203,info@quest-center.org,https://quest-center.org/fsr-addiction-services,,https://quest-center.org/fsr-addiction-services,https://quest-center.org/
HIV Services,,Quest Center for Integrative Health,,"Specialized, integrative healthcare and wellness support for people living with HIV.",Call 503-238-5203 or email info@quest-center.org to access HIV services.,"<h2>Program</h2><p>Integrative healthcare and wellness support tailored to people living with HIV, coordinated with Quest's medical, mental health, and nutrition services.</p><h2>Who It's For</h2><p>People living with HIV.</p>",,Medical,In Person; Online,Services,Living with HIV,3231 SE 50th Ave,Portland,Oregon,97206,,United States,45.4990592,-122.6116297,503-238-5203,info@quest-center.org,https://quest-center.org/hiv-services,,https://quest-center.org/hiv-services,https://quest-center.org/
Integrative Medical & Primary Care,,Quest Center for Integrative Health,,"Primary healthcare integrated with Quest's wellness services, including pain management (WISH) and nutrition support — a whole-person approach to health.",Call 503-238-5203 or email info@quest-center.org to establish care.,"<h2>Services</h2><ul><li>Primary healthcare</li><li>WISH pain management for chronic or acute pain</li><li>Nutrition counseling</li></ul><p>Care is integrated across Quest's medical, mental health, and wellness programs.</p>",,Medical,In Person; Online,Services,,3231 SE 50th Ave,Portland,Oregon,97206,,United States,45.4990592,-122.6116297,503-238-5203,info@quest-center.org,https://quest-center.org/medical-care,,https://quest-center.org/medical-care,https://quest-center.org/
Transitional Housing,,Quest Center for Integrative Health,,Residential transitional housing support helping Quest clients gain stability as part of their integrative health and recovery.,Call 503-238-5203 or email info@quest-center.org to ask about transitional housing.,"<h2>Program</h2><p>Transitional housing and residential support integrated with Quest's health and recovery services, helping clients stabilize.</p>",,Housing,In Person,Services,,3231 SE 50th Ave,Portland,Oregon,97206,,United States,45.4990592,-122.6116297,503-238-5203,info@quest-center.org,https://quest-center.org/transitional-housing,,https://quest-center.org/transitional-housing,https://quest-center.org/
