title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Job Search & Employment Services,,WorkSource Oregon,,"Free statewide employment help — job search assistance, career counseling and workshops, skills matching (iMatchSkills), apprenticeships, veteran hiring services, and unemployment work-search support — at WorkSource centers across Oregon.","Find your local WorkSource center at worksourceoregon.org/contact, or register at iMatchSkills.org. Access in person or by phone (11 languages supported).","<h2>Services</h2><ul><li>Job search assistance and job postings</li><li>Career counseling and workshops</li><li>iMatchSkills skills matching</li><li>Apprenticeship programs</li><li>Veteran hiring services</li><li>Unemployment insurance work-search support</li></ul><h2>How to Access</h2><p>Visit a WorkSource center (statewide), call your local office, or use the online My WorkSource portal.</p>",,Employment & Career,In Person; Online,Services,,,Portland,Oregon,,,United States,,,,,https://worksourceoregon.org/,,https://worksourceoregon.org/,https://worksourceoregon.org/
ID & Document Replacement Assistance,,PDX ID Assistance,,"A mutual-aid project that pays to replace lost identity documents — driver's licenses, ID cards, and birth certificates — by writing checks directly to the DMV or vital records offices. Free in-person clinics 3–4 times a month at rotating Portland locations. No appointment, no one turned away for lack of funds.","Attend a free clinic (rotating locations — e.g. Blanchet House, William Temple House, Street Books). Check paulsusi.wordpress.com/pdx-id-assistance for current dates. No proof of income required.","<h2>What It Covers</h2><ul><li>Driver's licenses and ID cards</li><li>Birth certificates</li></ul><h2>Who It's For</h2><p>Anyone needing help replacing ID — aimed at people experiencing houselessness, but open to all regardless of income. No proof of poverty required.</p><h2>How to Access</h2><p>Attend a free in-person clinic held 3–4 times monthly at rotating Portland locations. No appointment necessary.</p><h2>Note</h2><p>Does not assist with REAL ID-compliant IDs; standard IDs meet most needs.</p>",,ID & Documents,In Person,Services,Low Barrier,,Portland,Oregon,,,United States,,,,,https://paulsusi.wordpress.com/pdx-id-assistance/,,https://paulsusi.wordpress.com/pdx-id-assistance/,https://paulsusi.wordpress.com/pdx-id-assistance/
Temporary Pet Care During Treatment,,Fern's Place,,"Temporary foster care for the pets of people entering inpatient medical care or addiction treatment, so no one has to choose between getting help and keeping their animal. Community-based fostering model.",Email fernsplaceinfo@gmail.com to ask about temporary pet care or fostering.,"<h2>What It Offers</h2><p>Safe, temporary foster care for pets while their owners are in inpatient medical or addiction treatment.</p><h2>Who It's For</h2><p>People undergoing medical treatment or addiction recovery who need someone to care for their pet during their stay.</p>",,Animal Support,In Person,Services,People with Pets/Animals; People in Recovery,,Portland,Oregon,,,United States,,,,fernsplaceinfo@gmail.com,https://sites.google.com/view/fernsplaceinc/home,,https://sites.google.com/view/fernsplaceinc/home,https://sites.google.com/view/fernsplaceinc/home
Ticket to Work (Employment Support),,Ticket to Work Program,,"A free Social Security program helping people who receive SSDI or SSI disability benefits explore work and move toward financial independence — job coaching, placement, training, and guidance on how working affects your benefits, with Work Incentives that protect benefits and Medicare/Medicaid.","Call the Ticket to Work Help Line at 1-866-968-7842 (TTY 1-866-833-2967), Mon–Fri 8am–8pm ET, email TicketToWork@ssa.gov, or use the Find Help tool at choosework.ssa.gov/findhelp.","<h2>What It Offers</h2><ul><li>Employment support through authorized providers</li><li>Job coaching, placement, and training</li><li>Guidance on how work affects your benefits</li><li>Work Incentives that protect benefits as you try working</li></ul><h2>Who's Eligible</h2><p>People receiving SSDI or SSI who want to work. Free and voluntary.</p>",,Employment & Career,Online,Services,People with Disabilities,,Portland,Oregon,,,United States,,,1-866-968-7842,TicketToWork@ssa.gov,https://choosework.ssa.gov/,,https://choosework.ssa.gov/,https://choosework.ssa.gov/
Coordinated Housing Access,,Clackamas County,,The entry point for housing crisis assistance in Clackamas County — connecting residents experiencing or at risk of homelessness to shelter and housing resources through coordinated intake.,Call Clackamas County Coordinated Housing Access at 503-655-8575 (Mon–Fri 8am–6pm).,"<h2>What It Does</h2><p>Coordinated Housing Access (CHA) is the front door to housing and homelessness services in Clackamas County, screening residents and connecting them to shelter and housing programs.</p><h2>Who It's For</h2><p>Clackamas County residents experiencing or at risk of homelessness.</p>",,Housing,In Person; Online,Services,Low Barrier,,Oregon City,Oregon,,,United States,,,503-655-8575,,https://www.clackamas.us/communitydevelopment/cccha,,https://www.clackamas.us/communitydevelopment/cccha,https://www.clackamas.us/communitydevelopment/cccha
Primary & Whole-Person Health Care,,Multnomah County Community Health Center,,"Team-based primary medical care with integrated behavioral health for everyone in Multnomah County, including uninsured and underinsured people, across multiple clinics plus a mobile medical van.","Call 503-988-5558 to become a patient or schedule, or use the MyChart portal. Multiple clinic locations countywide.","<h2>Services</h2><p>Primary and preventive medical care, integrated behavioral health, and a mobile clinic van serving multiple weekly locations. Everyone in Multnomah County is welcome, including uninsured and underinsured residents (federally-funded health center).</p>",,Medical,In Person,Services,Low Barrier,,Portland,Oregon,,,United States,,,503-988-5558,,https://healthcenter.multco.us/,,https://healthcenter.multco.us/,https://healthcenter.multco.us/
Dental Care,,Multnomah County Community Health Center,,"Dental services — routine check-ups, fillings, urgent care, and school-based dental programs — through Multnomah County's community health clinics, open to county residents including the uninsured.",Call 503-988-5558 to schedule dental care at a Multnomah County clinic.,"<h2>Services</h2><ul><li>Routine check-ups and cleanings</li><li>Fillings and restorative care</li><li>Urgent dental care</li><li>School-based dental programs (ages 5–18)</li></ul><h2>Who It's For</h2><p>Multnomah County residents, including uninsured and underinsured people.</p>",,Dental,In Person,Services,Low Barrier,,Portland,Oregon,,,United States,,,503-988-5558,,https://healthcenter.multco.us/,,https://healthcenter.multco.us/,https://healthcenter.multco.us/
HIV Care & Support,,Multnomah County Community Health Center,,"Comprehensive HIV medical care plus connections to housing and food assistance, for people living with HIV in Multnomah County.",Call 503-988-5558 to access HIV care through Multnomah County's health center.,<h2>Services</h2><p>Comprehensive HIV treatment integrated with support connecting patients to housing and food assistance.</p><h2>Who It's For</h2><p>People living with HIV in Multnomah County.</p>,,Medical,In Person,Services,Living with HIV,,Portland,Oregon,,,United States,,,503-988-5558,,https://healthcenter.multco.us/,,https://healthcenter.multco.us/,https://healthcenter.multco.us/
24/7 Behavioral Health Crisis Line,,Multnomah County Behavioral Health Call Center,,"A free, confidential 24/7 mental health crisis line staffed by trained clinicians — crisis counseling, referrals to community providers, mobile crisis dispatch, and help finding local behavioral health supports. Interpretation available, with a dedicated Spanish line.","Call 503-988-4888 (English) or 503-988-4853 (Línea Latine / Spanish), 24/7. Free and confidential.","<h2>What It Offers</h2><ul><li>Free, confidential 24/7 behavioral health crisis support</li><li>Referrals to affordable community agencies</li><li>Help finding local behavioral health providers</li><li>Mobile crisis response dispatch</li><li>Language interpretation</li></ul><h2>Who It's For</h2><p>Anyone experiencing emotional distress, including people calling on behalf of someone else.</p>",,Crisis Hotlines,Online,Services,Spanish Speakers,,Portland,Oregon,,,United States,,,503-988-4888,,https://multco.us/services/behavioral-health-crisis-services,,https://multco.us/services/behavioral-health-crisis-services,https://multco.us/services/behavioral-health-crisis-services
Harm Reduction & Bridges to Care (HRBR),,OHSU,,"Low-barrier, on-demand medication for addiction treatment (opioids, alcohol, nicotine, meth, kratom) without requiring abstinence, plus peer support and HIV/hepatitis C screening and treatment. A 'bridge' clinic that stabilizes people and connects them to long-term care. Ages 15+.","Call 503-494-2100 to schedule. Virtual clinic Mon–Fri 10am–7pm (must be in Oregon); in-person at 10101 SE Main St, Suite 1001, Portland, Mon–Fri 1–5pm. Uninsured patients referred to financial assistance.","<h2>Services</h2><ul><li>Low-barrier, on-demand medication for addiction treatment (opioid, alcohol, nicotine, kratom, and methamphetamine use disorders)</li><li>Peer support services</li><li>HIV and hepatitis C screening and treatment</li><li>Limited behavioral health support</li></ul><h2>Who It's For</h2><p>People ages 15 and older who use drugs — no abstinence required. Does not treat acute alcohol/benzodiazepine withdrawal.</p>",,Recovery,In Person; Online,Services,Low Barrier,"10101 SE Main St, Suite 1001",Portland,Oregon,97216,,United States,45.5143573,-122.5594135,503-494-2100,,https://www.ohsu.edu/school-of-medicine/general-internal-medicine/harm-reduction-bridges-care-hrbr,,https://www.ohsu.edu/school-of-medicine/general-internal-medicine/harm-reduction-bridges-care-hrbr,https://www.ohsu.edu/school-of-medicine/general-internal-medicine/harm-reduction-bridges-care-hrbr
