title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Self-Governed Tiny House Village,,Dignity Village,,"A democratically self-governed tiny-house village in NE Portland sheltering up to 60 people. Residents run the community together under a shared agreement. Entry is through the Village Intake Committee, and there is nearly always a waitlist.",Call 503-281-1604 to ask about the intake process or to schedule a tour. Review the Village Intake Committee process at dignityvillage.org.,"<h2>About</h2><p>Dignity Village pioneered the self-governed ""Village Model"" of shelter — a democratic community where residents share responsibility for running the village. It houses up to 60 people nightly.</p><h2>Who It's For</h2><p>Adults experiencing homelessness seeking shelter and community.</p><h2>How to Get In</h2><ul><li>Go through the Village Intake Committee process</li><li>There is nearly always a waitlist for year-round spots</li><li>Residents must follow the Entrance Agreement and community manual</li></ul><h2>Location</h2><p>9401 NE Sunderland Ave, Portland.</p>",,Shelter,In Person; By Appointment Only,Services,Low Barrier,9401 NE Sunderland Ave,Portland,Oregon,97211,,United States,45.5907790,-122.6358800,503-281-1604,,https://dignityvillage.org/,,https://dignityvillage.org/,https://dignityvillage.org/
Job Placement for Job Seekers,,DPI Staffing Solutions,,"A staffing agency that connects job seekers with temporary, government, and direct-hire positions at no cost to the job seeker. Browse open jobs or join their talent community with a general application.","Browse and apply to open positions at dpistaffing.com/for-job-seekers/jobs, or submit a general application. Call 800-518-6637 or email info@dpistaffing.com.","<h2>Services</h2><p>DPI Staffing places job seekers into temporary, government, and direct-hire roles across multiple industries and states (including Oregon and Washington). If there's no immediate match, you can join their talent community for future openings.</p><h2>Cost</h2><p>Free for job seekers.</p><h2>How to Apply</h2><p>Browse current openings online or submit a general application. Portland and Salem offices serve Oregon.</p>",,Employment & Career,Online; In Person,Services,,,Portland,Oregon,,,United States,,,800-518-6637,info@dpistaffing.com,https://dpistaffing.com/for-job-seekers/jobs/,,https://dpistaffing.com/for-job-seekers/jobs/,https://dpistaffing.com/for-job-seekers/jobs/
Family Shelter & Homelessness Prevention,,Family Promise of Metro East,,"Shelter, prevention, and stabilization services for families with children experiencing or at risk of homelessness in inner NE and SE Portland. Operates a rotating shelter with partner congregations plus case management to help families regain stable housing.",Call 503-753-3960 or email info@pdxfp.org to ask about family shelter and prevention services. You can also call 211 for real-time family shelter openings.,<h2>Services</h2><ul><li>Emergency shelter for families with children (rotating congregation model)</li><li>Homelessness prevention and rent/stability support</li><li>Case management and housing stabilization</li></ul><h2>Who It's For</h2><p>Families with children experiencing or at risk of homelessness in NE and SE Portland.</p><h2>How to Access</h2><p>Contact Family Promise of Metro East at 503-753-3960 or info@pdxfp.org. (Other Family Promise affiliates serve Washington County and Gresham.)</p>,,Shelter,In Person,Services,Families; Youth & Children,,Portland,Oregon,,,United States,,,503-753-3960,info@pdxfp.org,https://www.pdxfp.org/,,https://familypromise.org/,https://familypromise.org/
Detox (Withdrawal Management),,Fora Health,,Medically-supervised withdrawal management to safely begin recovery from alcohol and other drugs. Access to treatment is not denied due to inability to pay; sliding-scale programs available.,Call 503-535-1151 or use the walk-in / same-day care process at forahealth.org/walk-in-process to get started.,"<h2>Program</h2><p>Medically-supervised detox with clinical monitoring and support as you withdraw from substances, providing a safe start to recovery and a bridge into further treatment.</p><h2>Cost</h2><p>Treatment is not denied due to inability to pay. Sliding-scale programs available; insurance accepted.</p>",,Detox,In Person,Services,People in Recovery; Low Barrier,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/detox/,,https://forahealth.org/detox/,https://forahealth.org/
Residential Treatment,,Fora Health,,"Inpatient residential addiction treatment providing 24-hour structured care, counseling, and support — including a medically-monitored option for higher-acuity needs.",Complete the residential interest form at forahealth.org/adults-get-started or call 503-535-1151.,"<h2>Program</h2><p>Live-in treatment in a structured therapeutic setting with individual and group counseling, medical support, and case management. A medically-monitored level is available for those who need closer clinical oversight.</p><h2>Cost</h2><p>Sliding scale available; treatment not denied for inability to pay.</p>",,Recovery,In Person,Services,People in Recovery,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/residential-treatment/,,https://forahealth.org/residential-treatment/,https://forahealth.org/
Outpatient Treatment,,Fora Health,,"Community-based outpatient addiction treatment for people who need support while keeping up with work, school, and family. Counseling and groups on a flexible schedule.",Call 503-535-1151 or use the walk-in / same-day care process to begin. Insurance verification at forahealth.org/verify-insurance.,<h2>Program</h2><p>Outpatient counseling and group treatment that lets you live at home and maintain daily responsibilities while in recovery.</p><h2>Cost</h2><p>Sliding scale; treatment not denied for inability to pay.</p>,,Recovery,In Person; Online,Services,People in Recovery,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/outpatient/,,https://forahealth.org/outpatient/,https://forahealth.org/
Medications for Addiction Treatment (MAT),,Fora Health,,Medication-assisted treatment (such as buprenorphine and other medications) combined with counseling to support recovery from opioid and alcohol use disorders.,Call 503-535-1151 or use the walk-in process at forahealth.org/walk-in-process.,<h2>Program</h2><p>Medications for addiction treatment paired with clinical and counseling support to reduce cravings and support long-term recovery.</p><h2>Cost</h2><p>Sliding scale; treatment not denied for inability to pay.</p>,,Recovery,In Person; Online,Services,People in Recovery,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/mat/,,https://forahealth.org/mat/,https://forahealth.org/
DUII Program,,Fora Health,,"Specialized treatment and education program for people with DUII-related offenses, meeting court and diversion requirements.",Call 503-535-1151 to enroll in the DUII program.,"<h2>Program</h2><p>Assessment, education, and treatment for individuals with DUII charges or convictions, structured to meet Oregon court and diversion requirements.</p>",,Recovery,In Person,Services,Justice Impacted,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/dui/,,https://forahealth.org/dui/,https://forahealth.org/
Peer Recovery Mentors,,Fora Health,,"Peer-led recovery support from mentors with lived experience, walking alongside clients through treatment and early recovery.","Ask your Fora Health care team about connecting with a peer recovery mentor, or call 503-535-1151.","<h2>Program</h2><p>Certified peer mentors with lived recovery experience provide encouragement, connection, and practical support throughout treatment and beyond.</p>",,Peer Support,In Person,Services,People in Recovery,424 NE 22nd Ave,Portland,Oregon,97232,,United States,45.5261335,-122.6430509,503-535-1151,,https://forahealth.org/peer-recovery-mentors/,,https://forahealth.org/peer-recovery-mentors/,https://forahealth.org/
Wraparound Services for Abuse Survivors,,Family Peace Center,,"A family justice center in Washington County bringing 20+ partner agencies under one roof so survivors of domestic violence, sexual assault, child abuse, elder abuse, and exploitation can get help without retelling their trauma. Free, all ages, any language.","Call (503) 430-8300 (24/7) or walk in Monday–Friday 8:30am–4:00pm at 1100 NE Compton Dr, Hillsboro. All services are free.","<h2>Services Under One Roof</h2><ul><li><b>Intervention:</b> child abuse support and legal assistance</li><li><b>Prevention:</b> social and financial support to reduce risk</li><li><b>Healing:</b> mental health counseling and trauma support</li><li><b>Hope:</b> arts, community engagement, and leadership programs</li></ul><h2>Who It's For</h2><p>Survivors of domestic violence, sexual assault, child abuse, elder abuse, and exploitation in Washington County — children, youth, adults, and elders.</p><h2>Cost & Access</h2><p>All services are free and offered in any language. Call 24/7 or walk in during business hours.</p>",,Case Management,In Person,Services,Domestic Violence (DV) Survivors,1100 NE Compton Dr,Hillsboro,Oregon,97006,,United States,45.5277790,-122.8816868,503-430-8300,,https://www.fpcwc.org/,,https://www.fpcwc.org/,https://www.fpcwc.org/
Family Shelter & Housing Stability,,Good Neighbor Center,,An emergency family shelter in Tigard providing shelter plus support services to help families with children experiencing homelessness reach lasting housing stability. About half of those served are children.,Call (503) 443-6084 or visit gncnw.org's Get Help section to learn about shelter and intake.,"<h2>Services</h2><p>Residential shelter for families combined with support services (case management, resources, and stability planning) to help families secure and keep long-term housing.</p><h2>Who It's For</h2><p>Families with children experiencing housing insecurity or homelessness.</p><h2>Location</h2><p>11130 SW Greenburg Rd, Tigard.</p>",,Shelter,In Person,Services,Families; Youth & Children,11130 SW Greenburg Rd,Tigard,Oregon,97223,,United States,45.4398137,-122.7791875,503-443-6084,,https://gncnw.org/,,https://gncnw.org/,https://gncnw.org/
Emergency Shelter (Referral-Based),,Bybee Lakes Hope Center,,"Low-barrier emergency shelter for up to 150 men, women, and families experiencing homelessness, with safe beds, food, and a work program. Referral-only, with same-day placement available 7 days a week, 8am–8pm.","Ask a referral partner to refer you, or call the Hope Center at (971) 333-5070 for help finding a referral partner. Same-day placement 7 days a week, 8am–8pm.","<h2>Services</h2><ul><li>Safe emergency shelter (up to 150 people)</li><li>Meals</li><li>Work program</li><li>Path into the optional Reentry Program</li></ul><h2>Who It's For</h2><p>Men, women, and families experiencing homelessness.</p><h2>How to Get In</h2><p>Referral-only. Referral partners can arrange same-day placement 7 days a week, 8am–8pm. Call (971) 333-5070 if you need help finding a referral partner.</p>",,Shelter,In Person,Services,Low Barrier; Families,14355 N Bybee Lake Ct,Portland,Oregon,97203,,United States,45.6262972,-122.7577775,971-333-5070,,https://www.helpinghandsreentry.org/hope-centers,,https://www.helpinghandsreentry.org/hope-centers,https://www.helpinghandsreentry.org/hope-centers
