title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Overnight Shelter & Basic Services,,Cityteam Portland,,"Overnight emergency shelter for adult men and women at Cityteam's Grand Ave location, open 7 nights a week from 7pm to 7am. A recovery-oriented site — guests are expected to arrive sober. Provides a safe place to sleep, a hot meal, showers, and clean clothing.","Come to 526 SE Grand Ave, Portland, in the evening (doors open around 7pm), or call 503-231-9334 / email portlandinfo@cityteam.org for details.","<h2>Services</h2><ul><li>Safe overnight shelter (7pm–7am, 7 days a week)</li><li>Hot cooked meals</li><li>Showers</li><li>Clean clothing</li><li>Connection to Cityteam's recovery programs</li></ul><h2>Who It's For</h2><p>Adult men and women experiencing homelessness. This is a recovery-oriented shelter, so guests are expected to arrive sober.</p><h2>How to Access</h2><p>Walk in during evening hours at 526 SE Grand Ave. Call 503-231-9334 with questions.</p>",,Shelter,In Person,Services,Clean & Sober,526 SE Grand Ave,Portland,Oregon,97214,,United States,45.5189591,-122.6605053,503-231-9334,portlandinfo@cityteam.org,https://www.cityteam.org/get-help/portland,,https://www.cityteam.org/get-help/portland,https://www.cityteam.org/portland/
Renew Recovery Program,,Cityteam Portland,,"Cityteam's faith-based residential recovery program for men working to overcome substance use — offering structure, shelter, meals, counseling, and a pathway back to stability and community.",Call 503-231-9334 or email portlandinfo@cityteam.org to ask about entering the Renew recovery program.,"<h2>Program</h2><p>Renew is Cityteam's recovery program for men struggling with addiction, providing a structured, supportive residential environment with meals, shelter, counseling, and spiritual support on the path to recovery and reintegration.</p><h2>Who It's For</h2><p>Men seeking to overcome substance use and rebuild their lives.</p><h2>How to Access</h2><p>Contact Cityteam Portland at 503-231-9334 or portlandinfo@cityteam.org.</p>",,Recovery,In Person,Services,Men; People in Recovery,526 SE Grand Ave,Portland,Oregon,97214,,United States,45.5189591,-122.6605053,503-231-9334,portlandinfo@cityteam.org,https://www.cityteam.org/get-help/portland,,https://www.cityteam.org/get-help/portland,https://www.cityteam.org/portland/
Community of Hope (Women & Children),,Cityteam Portland,,"Cityteam's program serving women and children experiencing homelessness, offering shelter and family-centered support. Community of Hope became part of Cityteam Portland in January 2024.",Call 503-231-9334 or email portlandinfo@cityteam.org to learn about Community of Hope services for women and children.,"<h2>Program</h2><p>Community of Hope provides shelter and support for women and children experiencing homelessness. It joined Cityteam Portland on January 1, 2024, extending Cityteam's services to families.</p><h2>Who It's For</h2><p>Women and children experiencing homelessness.</p><h2>How to Access</h2><p>Contact Cityteam Portland at 503-231-9334 or portlandinfo@cityteam.org.</p>",,Shelter,In Person,Services,Women; Families; Youth & Children,526 SE Grand Ave,Portland,Oregon,97214,,United States,45.5189591,-122.6605053,503-231-9334,portlandinfo@cityteam.org,https://www.cityteam.org/get-help/portland,,https://www.cityteam.org/get-help/portland,https://www.cityteam.org/portland/
Night Strike (Thursday Night Outreach),,Cityteam Portland,,"A Thursday-night street outreach under the Burnside Bridge in Portland, 7:30–9:30pm. People experiencing homelessness can get a hot meal, replacement clothing, shoes and sleeping bags, hygiene supplies, and free haircuts — plus connection and community. Volunteers welcome too.","Come to the Burnside Bridge on Thursday evenings 7:30–9:30pm. To volunteer, visit cityteam.org/get-involved/nightstrike or call 503-231-9334.","<h2>What's Offered</h2><ul><li>Hot meal</li><li>Replacement clothing, shoes, and sleeping bags</li><li>Personal hygiene and grooming supplies</li><li>Free haircuts and shaves</li><li>Foot washing</li><li>Connection and community</li></ul><h2>When & Where</h2><p>Thursday evenings, 7:30–9:30pm, under the Burnside Bridge, Portland.</p><h2>Get Involved</h2><p>Night Strike is also a volunteer opportunity — volunteers help serve meals, distribute supplies, and connect with houseless neighbors.</p>",,Food; Clothing; Toiletries,In Person,Services,Low Barrier,,Portland,Oregon,,,United States,,,503-231-9334,portlandinfo@cityteam.org,https://www.cityteam.org/get-involved/nightstrike,,https://www.cityteam.org/get-involved/nightstrike,https://www.cityteam.org/portland/
Court Record Relief,,Clear Clinic,,"Free legal help clearing criminal records for low-income Oregonians — expungements, SB 819 applications for relief on otherwise non-expungeable felonies, and motions to waive court fines and fees.","Complete the intake form at clear-clinic.org/record-relief, or visit a drop-in clinic (no appointment needed). Call 503-389-5919.","<h2>Services</h2><ul><li>Criminal record expungements</li><li>SB 819 applications for relief on non-expungeable felonies</li><li>Motions to waive court fines and fees</li></ul><h2>Who It's For</h2><p>Low-income Oregonians with criminal records.</p><h2>How to Access</h2><p>Submit the online intake form or attend a drop-in clinic (Portland metro, Oregon prisons, tribal nations, and across Oregon — no appointment needed).</p>",,Legal,In Person; Online,Services,Justice Impacted; Low Barrier,,Portland,Oregon,,,United States,,,503-389-5919,,https://clear-clinic.org/record-relief,,https://clear-clinic.org/record-relief,https://clear-clinic.org/
Immigration Justice,,Clear Clinic,,"Free immigration legal services — deportation defense, DACA renewals, work permits, and support for immigrant workers facing mistreatment.","Use the DACA or enrollment intake forms at clear-clinic.org/immigration-justice, or call 503-389-5919.","<h2>Services</h2><ul><li>Deportation / removal defense</li><li>DACA renewals</li><li>Work permit applications</li><li>Immigrant worker justice</li></ul><h2>Who It's For</h2><p>Immigrants facing deportation or workplace mistreatment.</p><h2>How to Access</h2><p>Complete the relevant intake form online, attend a drop-in clinic, or call 503-389-5919.</p>",,Legal,In Person; Online,Services,"Immigrants, Refugees, Asylum Seekers",,Portland,Oregon,,,United States,,,503-389-5919,,https://clear-clinic.org/immigration-justice,,https://clear-clinic.org/immigration-justice,https://clear-clinic.org/
Name & Gender-Marker Changes,,Clear Clinic,,"Free legal help with legal name changes and gender-marker changes, including advice and guidance throughout the process.","Complete the intake form at clear-clinic.org/name-gendermarker-changes, or call 503-389-5919.",<h2>Services</h2><ul><li>Legal name changes</li><li>Gender-marker changes</li><li>Legal advice throughout the process</li></ul><h2>Who It's For</h2><p>Anyone in Oregon seeking to change their legal name or gender marker.</p><h2>How to Access</h2><p>Submit the online intake form or attend a drop-in clinic.</p>,,Legal,In Person; Online,Services,LGBTQIA2S+,,Portland,Oregon,,,United States,,,503-389-5919,,https://clear-clinic.org/name-gendermarker-changes,,https://clear-clinic.org/name-gendermarker-changes,https://clear-clinic.org/
Housing Justice,,Clear Clinic,,"Free tenant legal help — eviction defense, eviction record expungement, and tenant advocacy, including a tenant hotline. Eviction defense is focused on Portland; other help is statewide.","Call the tenant hotline at 503-433-6431 (Tue–Thu, 9am–5pm), submit the advocacy or eviction-expungement intake form, or call 503-389-5919.","<h2>Services</h2><ul><li>Eviction defense (Portland)</li><li>Eviction record expungement</li><li>Tenant advocacy and rights</li><li>Tenant hotline: 503-433-6431 (Tue–Thu, 9am–5pm)</li></ul><h2>Who It's For</h2><p>Low-income tenants facing eviction (defense focused on Portland; expungement and advocacy statewide).</p><h2>How to Access</h2><p>Call the hotline, submit an intake form, or attend a drop-in clinic.</p>",,Legal,In Person; Online,Services,Low Barrier,,Portland,Oregon,,,United States,,,503-433-6431,,https://clear-clinic.org/housingjustice,,https://clear-clinic.org/housingjustice,https://clear-clinic.org/
Withdrawal Management (Detox),,Coda,,"Medically-supervised withdrawal management (detox) at Coda's Beaverton Recovery Center — a safe, supported start to recovery from alcohol and other drugs.",Call 855-733-2632 (855-SEE-CODA) or complete the patient intake form at codainc.org to get started.,"<h2>Program</h2><p>Medically-supervised detoxification providing 24-hour support as your body withdraws from substances, in a secure and structured setting. A first step that transitions into further treatment.</p><h2>Location</h2><p>Beaverton Recovery Center.</p><h2>How to Access</h2><p>Call 855-SEE-CODA (855-733-2632) or fill out the patient intake form online. A waitlist may apply until beds are available.</p>",,Detox,In Person,Services,People in Recovery,,,,,,United States,,,855-733-2632,,https://codainc.org/services/withdrawal-management/,,https://codainc.org/services/withdrawal-management/,https://codainc.org/
Residential Treatment,,Coda,,"Inpatient, gender-specific residential addiction treatment averaging 90 days, with 24-hour support, individual and group counseling, medication-assisted treatment, case management, and family involvement. Specialized care for pregnant and parenting women.",Call 855-733-2632 (855-SEE-CODA) or complete the patient intake form at codainc.org.,"<h2>Program</h2><p>Live-in treatment in a secure, structured therapeutic environment. Average length of stay is 90 days.</p><h2>What's Included</h2><ul><li>Individual and group counseling</li><li>Medication-assisted treatment</li><li>24-hour support</li><li>Case management and family involvement</li><li>Peer support and 12-step connections</li><li>Transition to other levels of care</li></ul><h2>Locations</h2><ul><li>Women: Beaverton Recovery Center; pregnant and parenting women at Gresham Recovery Center</li><li>Men: Gresham, Tigard, or Beaverton Recovery Centers</li></ul><h2>How to Access</h2><p>Call 855-SEE-CODA (855-733-2632) or use the online intake form. A waitlist may apply.</p>",,Recovery,In Person,Services,People in Recovery,,,,,,United States,,,855-733-2632,,https://codainc.org/services/residential-treatment/,,https://codainc.org/services/residential-treatment/,https://codainc.org/
